config_id,feature_set,scaler,space_type,pca_n_components,algorithm,n_clusters_requested,n_clusters_actual,silhouette_score,davies_bouldin_score,calinski_harabasz_score,cluster_size_min,cluster_size_max,cluster_size_ratio_max,n_singleton_clusters,n_small_clusters,n_rows,n_features_input,n_features_used,n_missing_imputed,explained_variance_ratio_sum,avg_assignment_confidence,min_assignment_confidence,entropy_of_assignment,ranking_score,notes
cfg_0242,base,quantile,pca,6.0,gmm,5,5,0.12069047824525865,1.9131194502465128,65.57119965692048,30,109,0.2607655502392344,0,0,418,22,6,0,0.6499497378374233,0.8916297309050851,0.38090777356715116,0.2765835889628039,-0.21460760894906292,
cfg_0243,base,quantile,pca,6.0,gmm,6,6,0.12148594466044972,1.9203968638543019,61.135083601745265,20,111,0.26555023923444976,0,1,418,22,6,0,0.6499497378374233,0.897185632009583,0.3813630448252444,0.2724061225088898,-0.2696362698007904,
cfg_0244,base,quantile,pca,6.0,gmm,7,7,0.11723396211488382,1.8777509357482962,57.68679041320863,6,92,0.22009569377990432,0,1,418,22,6,0,0.6499497378374233,0.8864298230882839,0.3917534099372214,0.3024439571824098,-0.24009257680457494,
cfg_0245,base,quantile,pca,6.0,gmm,8,8,0.09089819649081023,2.462545583779674,44.80119478649596,12,86,0.20574162679425836,0,2,418,22,6,0,0.6499497378374233,0.8765554679293448,0.34844524397937043,0.3099442642015771,-0.378299315138764,
cfg_0246,base,quantile,pca,6.0,agglomerative,2,2,0.18934744330631234,1.8922542354531218,99.07976325758095,200,218,0.5215311004784688,0,0,418,22,6,0,0.6499497378374233,,,,-0.25506641230576005,
cfg_0247,base,quantile,pca,6.0,agglomerative,3,3,0.16755489481376717,1.775591562591331,83.02899468626474,105,200,0.4784688995215311,0,0,418,22,6,0,0.6499497378374233,,,,-0.24822664503369052,
cfg_0248,base,quantile,pca,6.0,agglomerative,4,4,0.1640427835599333,1.6465230936333135,81.8990074693335,60,140,0.3349282296650718,0,0,418,22,6,0,0.6499497378374233,,,,-0.16297220859652123,
cfg_0249,base,quantile,pca,6.0,agglomerative,5,5,0.16822114617432715,1.542014542576006,76.01681229435039,30,140,0.3349282296650718,0,0,418,22,6,0,0.6499497378374233,,,,-0.14776216000264566,
cfg_0250,base,quantile,pca,6.0,agglomerative,6,6,0.14326994962596626,1.6611735447538296,69.97131101718534,30,113,0.2703349282296651,0,0,418,22,6,0,0.6499497378374233,,,,-0.16000453717096133,
cfg_0251,base,quantile,pca,6.0,agglomerative,7,7,0.13137893547884172,1.7404067809198198,65.13295242776987,30,94,0.22488038277511962,0,0,418,22,6,0,0.6499497378374233,,,,-0.1626428559812497,
cfg_0252,base,quantile,pca,6.0,agglomerative,8,8,0.12526300472062393,1.7742445267211484,61.789783279091,22,94,0.22488038277511962,0,0,418,22,6,0,0.6499497378374233,,,,-0.17521518055030705,
cfg_0253,with_chaos,identity,original,,gmm,2,2,0.9004759335733782,0.49824113330814307,473.09687803107335,9,409,0.9784688995215312,0,1,418,25,25,0,,1.0,1.0,2.763102111592855e-11,0.47346025994575713,
cfg_0254,with_chaos,identity,original,,gmm,3,3,0.21824943701815486,1.38626160715459,270.63311043620854,9,236,0.5645933014354066,0,1,418,25,25,0,,0.9955661967314091,0.7376952460457071,0.016288788326791006,-0.1843300553544333,
cfg_0255,with_chaos,identity,original,,gmm,4,4,0.3481693310324151,1.0767344031266308,463.85145111646847,2,288,0.6889952153110048,0,2,418,25,25,0,,0.9890035136632306,0.5303625883745448,0.030808147233766448,-0.018153608123159054,
cfg_0256,with_chaos,identity,original,,gmm,5,5,0.34883537569492284,0.9415523516235436,428.91508555560256,2,288,0.6889952153110048,0,3,418,25,25,0,,0.9890035136632305,0.5303625883745128,0.030808147261397495,-0.04823955927465684,
