2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=qdyn.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=qdyn.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=qdyn.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=rth.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=rth.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=rth.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=silj.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=silj.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=silj.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | INFO | candidate_done model=lstm_forecast candidate_id=lstm_g002 elapsed=0.27s
2026-03-29 19:59:56 | INFO | candidate_start model=lstm_forecast candidate_id=lstm_g003 compare_group_id=lstm_grp_003
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=afk.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=afk.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=afk.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=dwm.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=dwm.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=dwm.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=effe.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=effe.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=effe.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=fdis.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=fdis.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=fdis.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=iyg.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=iyg.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=iyg.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=jkf.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=jkf.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=jkf.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=jkh.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=jkh.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=jkh.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=mlpg.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=mlpg.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=mlpg.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=oil.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=oil.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=oil.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=qdyn.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=qdyn.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=qdyn.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=rth.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=rth.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=rth.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=silj.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=silj.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g003 series=silj.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:57 | INFO | candidate_done model=lstm_forecast candidate_id=lstm_g003 elapsed=0.27s
2026-03-29 19:59:57 | INFO | candidate_start model=lstm_forecast candidate_id=lstm_g004 compare_group_id=lstm_grp_004
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=afk.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=afk.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=afk.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=dwm.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=dwm.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=dwm.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=effe.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=effe.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=effe.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=fdis.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=fdis.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=fdis.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=iyg.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=iyg.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=iyg.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=jkf.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=jkf.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=jkf.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=jkh.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=jkh.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=jkh.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=mlpg.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=mlpg.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=mlpg.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=oil.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=oil.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=oil.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=qdyn.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=qdyn.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=qdyn.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=rth.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:57 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g004 series=rth.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
