run_id,model_name,series_id,ticker,market,horizon,fold_id,rmse,mae,directional_accuracy
forecasting_benchmark_v2,chaotic_logistic_net,RU:ABIO,ABIO,RU,5,2,0.10490588830084938,0.07141087084762016,0.4204081632653061
forecasting_benchmark_v2,chaotic_logistic_net,RU:ABIO,ABIO,RU,5,3,0.06937184441788566,0.045361477852571684,0.4816326530612245
forecasting_benchmark_v2,lstm_forecast,RU:ABIO,ABIO,RU,5,1,0.13338040316950492,0.06557561292746228,0.5285714285714286
forecasting_benchmark_v2,lstm_forecast,RU:ABIO,ABIO,RU,5,2,0.10460127294724285,0.06518256423195855,0.41836734693877553
forecasting_benchmark_v2,lstm_forecast,RU:ABIO,ABIO,RU,5,3,0.06886804233103049,0.044502827394893064,0.47551020408163264
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:ABIO,ABIO,RU,5,1,0.1326370436725473,0.06555011660860925,0.5183673469387755
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:ABIO,ABIO,RU,5,2,0.10787169527053082,0.07071387390543557,0.4714285714285714
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:ABIO,ABIO,RU,5,3,0.06945439201028994,0.04548213117410457,0.4816326530612245
forecasting_benchmark_v2,naive_zero,RU:ABIO,ABIO,RU,20,1,0.2572345332040956,0.1490909458014416,0.00823045267489712
forecasting_benchmark_v2,naive_zero,RU:ABIO,ABIO,RU,20,2,0.22095265422905802,0.14872606621696208,0.0
forecasting_benchmark_v2,naive_zero,RU:ABIO,ABIO,RU,20,3,0.13421451793837527,0.0984806110677745,0.0
forecasting_benchmark_v2,naive_mean,RU:ABIO,ABIO,RU,20,1,0.26660393876175914,0.15413804008396442,0.5041152263374485
forecasting_benchmark_v2,naive_mean,RU:ABIO,ABIO,RU,20,2,0.22340290080061845,0.1490373014203431,0.49794238683127573
forecasting_benchmark_v2,naive_mean,RU:ABIO,ABIO,RU,20,3,0.1342520850610207,0.09886824162588692,0.5
forecasting_benchmark_v2,ridge_lag,RU:ABIO,ABIO,RU,20,1,0.27579503307946907,0.17011346206189054,0.48148148148148145
forecasting_benchmark_v2,ridge_lag,RU:ABIO,ABIO,RU,20,2,0.2384990087359447,0.16548037785195213,0.5288065843621399
forecasting_benchmark_v2,ridge_lag,RU:ABIO,ABIO,RU,20,3,0.136191466392779,0.09952757563582984,0.5390946502057613
forecasting_benchmark_v2,esn,RU:ABIO,ABIO,RU,20,1,0.2782175286017227,0.1727594082357136,0.4773662551440329
forecasting_benchmark_v2,esn,RU:ABIO,ABIO,RU,20,2,0.23970615239506943,0.16670037684914002,0.5329218106995884
forecasting_benchmark_v2,esn,RU:ABIO,ABIO,RU,20,3,0.14350326075569325,0.10547986733726258,0.5823045267489712
forecasting_benchmark_v2,chaotic_esn,RU:ABIO,ABIO,RU,20,1,0.3104676522936492,0.19554574966693816,0.46296296296296297
forecasting_benchmark_v2,chaotic_esn,RU:ABIO,ABIO,RU,20,2,0.24151459481790727,0.17056095919258474,0.5432098765432098
forecasting_benchmark_v2,chaotic_esn,RU:ABIO,ABIO,RU,20,3,0.14526130029960435,0.10776698647432283,0.5576131687242798
forecasting_benchmark_v2,transient_chaotic_esn,RU:ABIO,ABIO,RU,20,1,0.28045444983025886,0.17635205445045266,0.4547325102880658
forecasting_benchmark_v2,transient_chaotic_esn,RU:ABIO,ABIO,RU,20,2,0.24474519600144024,0.17170576327069947,0.5390946502057613
forecasting_benchmark_v2,transient_chaotic_esn,RU:ABIO,ABIO,RU,20,3,0.14375708763552894,0.10593548618147883,0.5864197530864198
forecasting_benchmark_v2,vanilla_mlp,RU:ABIO,ABIO,RU,20,1,0.26008972199254293,0.14834882110360156,0.5061728395061729
forecasting_benchmark_v2,vanilla_mlp,RU:ABIO,ABIO,RU,20,2,0.2461647900188516,0.1775908097968055,0.47530864197530864
forecasting_benchmark_v2,vanilla_mlp,RU:ABIO,ABIO,RU,20,3,0.13271837177325543,0.0960164212990486,0.6193415637860082
forecasting_benchmark_v2,chaotic_mlp,RU:ABIO,ABIO,RU,20,1,0.26235607509785636,0.15820262926985326,0.43415637860082307
forecasting_benchmark_v2,chaotic_mlp,RU:ABIO,ABIO,RU,20,2,0.22073167663372956,0.1509399257555096,0.5308641975308642
forecasting_benchmark_v2,chaotic_mlp,RU:ABIO,ABIO,RU,20,3,0.14194806460473328,0.10916093686513799,0.49588477366255146
forecasting_benchmark_v2,chaotic_logistic_net,RU:ABIO,ABIO,RU,20,1,0.26909043238363,0.15643667734163558,0.5041152263374485
forecasting_benchmark_v2,chaotic_logistic_net,RU:ABIO,ABIO,RU,20,2,0.21712836478954903,0.15205993103504345,0.5020576131687243
forecasting_benchmark_v2,chaotic_logistic_net,RU:ABIO,ABIO,RU,20,3,0.14041447193006681,0.1062892181057157,0.5
forecasting_benchmark_v2,lstm_forecast,RU:ABIO,ABIO,RU,20,1,0.26519874359809903,0.1531562221203197,0.4897119341563786
forecasting_benchmark_v2,lstm_forecast,RU:ABIO,ABIO,RU,20,2,0.23386335537790232,0.1641908124128901,0.4794238683127572
forecasting_benchmark_v2,lstm_forecast,RU:ABIO,ABIO,RU,20,3,0.13445197668740883,0.09918588109787406,0.5
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:ABIO,ABIO,RU,20,1,0.2624358113318531,0.15099826347822518,0.5041152263374485
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:ABIO,ABIO,RU,20,2,0.24692677244854772,0.1714603378837552,0.5205761316872428
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:ABIO,ABIO,RU,20,3,0.13400471816075749,0.09894632577324143,0.4732510288065844
forecasting_benchmark_v2,naive_zero,RU:ABRD,ABRD,RU,1,1,0.025661590765189035,0.008995395791583087,0.23553719008264462
forecasting_benchmark_v2,naive_zero,RU:ABRD,ABRD,RU,1,2,0.03457502777226734,0.013758268719745831,0.14049586776859505
forecasting_benchmark_v2,naive_zero,RU:ABRD,ABRD,RU,1,3,0.022090890968937016,0.01520864674149204,0.03305785123966942
forecasting_benchmark_v2,naive_mean,RU:ABRD,ABRD,RU,1,1,0.02565330087738217,0.009198692157696108,0.33884297520661155
forecasting_benchmark_v2,naive_mean,RU:ABRD,ABRD,RU,1,2,0.03457926894676134,0.013833202271065126,0.3739669421487603
forecasting_benchmark_v2,naive_mean,RU:ABRD,ABRD,RU,1,3,0.02208552305404529,0.015251697979425664,0.45867768595041325
forecasting_benchmark_v2,ridge_lag,RU:ABRD,ABRD,RU,1,1,0.02615976032895892,0.009266116393789664,0.41735537190082644
