run_id,model_name,series_id,ticker,market,horizon,fold_id,n_obs,mae,mse,rmse,directional_accuracy
forecasting_benchmark_v2,esn,RU:WTCMP,WTCMP,RU,1,1,484,0.01895739457459379,0.0011355066135712922,0.03369727902325783,0.493801652892562
forecasting_benchmark_v2,esn,RU:WTCMP,WTCMP,RU,1,2,484,0.013216343374045755,0.00047691951248012465,0.021838486954918024,0.48760330578512395
forecasting_benchmark_v2,esn,RU:WTCMP,WTCMP,RU,1,3,484,0.01565491123216184,0.0007680950484808861,0.027714527751359685,0.4855371900826446
forecasting_benchmark_v2,chaotic_esn,RU:WTCMP,WTCMP,RU,1,1,484,0.029963676284036206,0.0021657146361015152,0.04653723924022046,0.45661157024793386
forecasting_benchmark_v2,chaotic_esn,RU:WTCMP,WTCMP,RU,1,2,484,0.016307807531492996,0.0006058450498807647,0.0246139198398135,0.44421487603305787
forecasting_benchmark_v2,chaotic_esn,RU:WTCMP,WTCMP,RU,1,3,484,0.018787079606950197,0.0009240563528327824,0.03039829522905491,0.4628099173553719
forecasting_benchmark_v2,transient_chaotic_esn,RU:WTCMP,WTCMP,RU,1,1,484,0.019021237350686487,0.0011552677681080626,0.03398923017822061,0.49793388429752067
forecasting_benchmark_v2,transient_chaotic_esn,RU:WTCMP,WTCMP,RU,1,2,484,0.013278315774242301,0.00047941197667611564,0.02189547845277914,0.4896694214876033
forecasting_benchmark_v2,transient_chaotic_esn,RU:WTCMP,WTCMP,RU,1,3,484,0.015634640429331784,0.0007672261127911072,0.0276988467772777,0.4669421487603306
forecasting_benchmark_v2,vanilla_mlp,RU:WTCMP,WTCMP,RU,1,1,484,0.017677658982084617,0.0009589208962466971,0.03096644791135556,0.44214876033057854
forecasting_benchmark_v2,vanilla_mlp,RU:WTCMP,WTCMP,RU,1,2,484,0.012440191771349555,0.0004189202153940309,0.020467540531144208,0.4690082644628099
forecasting_benchmark_v2,vanilla_mlp,RU:WTCMP,WTCMP,RU,1,3,484,0.015511273995175223,0.0007442284972752053,0.027280551630698476,0.4834710743801653
forecasting_benchmark_v2,chaotic_mlp,RU:WTCMP,WTCMP,RU,1,1,484,0.01734860717271775,0.0009492812597859591,0.030810408302811555,0.4214876033057851
forecasting_benchmark_v2,chaotic_mlp,RU:WTCMP,WTCMP,RU,1,2,484,0.012285308079178471,0.00041556054849582123,0.020385302266481633,0.4628099173553719
forecasting_benchmark_v2,chaotic_mlp,RU:WTCMP,WTCMP,RU,1,3,484,0.015324382766739022,0.0007387949364394545,0.027180782483943587,0.49793388429752067
forecasting_benchmark_v2,chaotic_logistic_net,RU:WTCMP,WTCMP,RU,1,1,484,0.017350966940072206,0.0009433121992830721,0.030713387948630353,0.4318181818181818
forecasting_benchmark_v2,chaotic_logistic_net,RU:WTCMP,WTCMP,RU,1,2,484,0.025454318891857845,0.0009421912371313156,0.030695133769562163,0.4256198347107438
forecasting_benchmark_v2,chaotic_logistic_net,RU:WTCMP,WTCMP,RU,1,3,484,0.015504328891716625,0.0007384888509324173,0.02717515135068096,0.4359504132231405
forecasting_benchmark_v2,lstm_forecast,RU:WTCMP,WTCMP,RU,1,1,484,0.018035136014339332,0.0009585426205527139,0.030960339477349306,0.4318181818181818
forecasting_benchmark_v2,lstm_forecast,RU:WTCMP,WTCMP,RU,1,2,484,0.012307444440489946,0.0004142392505379117,0.020352868361435243,0.42355371900826444
forecasting_benchmark_v2,lstm_forecast,RU:WTCMP,WTCMP,RU,1,3,484,0.015362647246913547,0.0007354981878646124,0.027120069835172116,0.44421487603305787
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:WTCMP,WTCMP,RU,1,1,484,0.017461316177402077,0.0009458489378373455,0.030754657173139577,0.44008264462809915
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:WTCMP,WTCMP,RU,1,2,484,0.012282698479481038,0.00041248945575099677,0.020309836428464824,0.42355371900826444
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:WTCMP,WTCMP,RU,1,3,484,0.015405465602917993,0.0007382864421723827,0.027171426943986263,0.4524793388429752
forecasting_benchmark_v2,naive_zero,RU:WTCMP,WTCMP,RU,5,1,490,0.038701328788678095,0.004620813195000202,0.06797656357157371,0.053061224489795916
forecasting_benchmark_v2,naive_zero,RU:WTCMP,WTCMP,RU,5,2,490,0.024744511062748942,0.0016359709396560524,0.04044713759533612,0.04897959183673469
forecasting_benchmark_v2,naive_zero,RU:WTCMP,WTCMP,RU,5,3,490,0.03659757164713361,0.0031031545663055982,0.05570596526679704,0.04285714285714286
forecasting_benchmark_v2,naive_mean,RU:WTCMP,WTCMP,RU,5,1,490,0.038734994079026946,0.00461067254805908,0.0679019333160631,0.48367346938775513
forecasting_benchmark_v2,naive_mean,RU:WTCMP,WTCMP,RU,5,2,490,0.024909076715238978,0.0016416118715812118,0.04051680974091139,0.44693877551020406
forecasting_benchmark_v2,naive_mean,RU:WTCMP,WTCMP,RU,5,3,490,0.03652286230415923,0.0030832226892471026,0.05552677452587267,0.5183673469387755
forecasting_benchmark_v2,ridge_lag,RU:WTCMP,WTCMP,RU,5,1,490,0.03960831295638107,0.004780711909189811,0.06914269237735693,0.5142857142857142
forecasting_benchmark_v2,ridge_lag,RU:WTCMP,WTCMP,RU,5,2,490,0.027271007196415644,0.001683533555867653,0.041030885389760394,0.5020408163265306
forecasting_benchmark_v2,ridge_lag,RU:WTCMP,WTCMP,RU,5,3,490,0.040345002160980754,0.0033697203753893156,0.05804929263470241,0.44081632653061226
forecasting_benchmark_v2,esn,RU:WTCMP,WTCMP,RU,5,1,490,0.040670652646893055,0.0050084108515207944,0.07077012682990468,0.5428571428571428
forecasting_benchmark_v2,esn,RU:WTCMP,WTCMP,RU,5,2,490,0.029048869620544784,0.0018310246133914619,0.042790473395271776,0.5244897959183673
forecasting_benchmark_v2,esn,RU:WTCMP,WTCMP,RU,5,3,490,0.0409376393883173,0.0033988497790983455,0.05829965505128092,0.4387755102040816
forecasting_benchmark_v2,chaotic_esn,RU:WTCMP,WTCMP,RU,5,1,490,0.05614268998735199,0.01149803684940261,0.10722889932011151,0.5489795918367347
forecasting_benchmark_v2,chaotic_esn,RU:WTCMP,WTCMP,RU,5,2,490,0.029932117370520865,0.0021115548739684144,0.04595165801109264,0.5040816326530613
forecasting_benchmark_v2,chaotic_esn,RU:WTCMP,WTCMP,RU,5,3,490,0.041984490656262315,0.00351304014953502,0.05927090474705966,0.46530612244897956
forecasting_benchmark_v2,transient_chaotic_esn,RU:WTCMP,WTCMP,RU,5,1,490,0.040556890725959575,0.005039749267092994,0.07099119147537244,0.5469387755102041
forecasting_benchmark_v2,transient_chaotic_esn,RU:WTCMP,WTCMP,RU,5,2,490,0.029161953433469303,0.0018306929552829416,0.04278659784655636,0.5081632653061224
forecasting_benchmark_v2,transient_chaotic_esn,RU:WTCMP,WTCMP,RU,5,3,490,0.040568261668885795,0.0033727025370367597,0.058074973413999594,0.4387755102040816
forecasting_benchmark_v2,vanilla_mlp,RU:WTCMP,WTCMP,RU,5,1,490,0.04219576894816894,0.0053604662889763744,0.07321520531266967,0.5469387755102041
forecasting_benchmark_v2,vanilla_mlp,RU:WTCMP,WTCMP,RU,5,2,490,0.02541311397189041,0.0016183676549770467,0.040228940515219226,0.46122448979591835
forecasting_benchmark_v2,vanilla_mlp,RU:WTCMP,WTCMP,RU,5,3,490,0.0378495501974603,0.0032038520122138953,0.056602579554415146,0.4346938775510204
forecasting_benchmark_v2,chaotic_mlp,RU:WTCMP,WTCMP,RU,5,1,490,0.03878108731796718,0.004558242763211568,0.06751475959530308,0.5040816326530613
forecasting_benchmark_v2,chaotic_mlp,RU:WTCMP,WTCMP,RU,5,2,490,0.02473233239149069,0.001601460297622,0.040018249557195774,0.5224489795918368
forecasting_benchmark_v2,chaotic_mlp,RU:WTCMP,WTCMP,RU,5,3,490,0.0413586692577167,0.003607710028287334,0.06006421587174292,0.45714285714285713
forecasting_benchmark_v2,chaotic_logistic_net,RU:WTCMP,WTCMP,RU,5,1,490,0.03875337095626749,0.004606742374663601,0.06787298707632958,0.48367346938775513
forecasting_benchmark_v2,chaotic_logistic_net,RU:WTCMP,WTCMP,RU,5,2,490,0.033581930454731346,0.002188237014582126,0.0467785956884356,0.44693877551020406
forecasting_benchmark_v2,chaotic_logistic_net,RU:WTCMP,WTCMP,RU,5,3,490,0.03657618821621407,0.0030966185386931723,0.05564726892393887,0.5183673469387755
forecasting_benchmark_v2,lstm_forecast,RU:WTCMP,WTCMP,RU,5,1,490,0.03833209177075032,0.0046060297480864645,0.067867737166392,0.5510204081632653
forecasting_benchmark_v2,lstm_forecast,RU:WTCMP,WTCMP,RU,5,2,490,0.02596160901569369,0.0016998970608013515,0.04122980791613455,0.44693877551020406
forecasting_benchmark_v2,lstm_forecast,RU:WTCMP,WTCMP,RU,5,3,490,0.0372668776220817,0.003149208874580606,0.05611781245362836,0.4530612244897959
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:WTCMP,WTCMP,RU,5,1,490,0.038609995403860335,0.0046916537066432505,0.06849564735545793,0.5448979591836735
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:WTCMP,WTCMP,RU,5,2,490,0.025964922267186656,0.001692529386488824,0.041140362012126536,0.44693877551020406
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:WTCMP,WTCMP,RU,5,3,490,0.03677368789252979,0.0031026618989340223,0.0557015430570287,0.47346938775510206
forecasting_benchmark_v2,naive_zero,RU:WTCMP,WTCMP,RU,20,1,486,0.07390628968451332,0.01667285931874541,0.12912342668449212,0.02263374485596708
forecasting_benchmark_v2,naive_zero,RU:WTCMP,WTCMP,RU,20,2,486,0.05046921174202467,0.005279469444668879,0.07265995764290589,0.0205761316872428
forecasting_benchmark_v2,naive_zero,RU:WTCMP,WTCMP,RU,20,3,486,0.0818222073082918,0.009656023746248223,0.09826506879989563,0.0102880658436214
forecasting_benchmark_v2,naive_mean,RU:WTCMP,WTCMP,RU,20,1,486,0.07357225585606013,0.016499873808402447,0.12845183458558482,0.5411522633744856
forecasting_benchmark_v2,naive_mean,RU:WTCMP,WTCMP,RU,20,2,486,0.05135856118265231,0.005387727155420164,0.07340113865206836,0.44238683127572015
forecasting_benchmark_v2,naive_mean,RU:WTCMP,WTCMP,RU,20,3,486,0.08046595809424213,0.009343292423006135,0.09666070775142366,0.588477366255144
forecasting_benchmark_v2,ridge_lag,RU:WTCMP,WTCMP,RU,20,1,486,0.06583768675878622,0.014202789766891004,0.11917545790510312,0.6481481481481481
forecasting_benchmark_v2,ridge_lag,RU:WTCMP,WTCMP,RU,20,2,486,0.054381754820676295,0.005537286486601961,0.07441294569227831,0.5
forecasting_benchmark_v2,ridge_lag,RU:WTCMP,WTCMP,RU,20,3,486,0.08982037234714915,0.011432764480640924,0.106924106171812,0.4670781893004115
forecasting_benchmark_v2,esn,RU:WTCMP,WTCMP,RU,20,1,486,0.06660331991366869,0.014329282188378326,0.11970497979774411,0.6440329218106996
forecasting_benchmark_v2,esn,RU:WTCMP,WTCMP,RU,20,2,486,0.05511703202202213,0.00565181641299144,0.07517856352040414,0.49794238683127573
forecasting_benchmark_v2,esn,RU:WTCMP,WTCMP,RU,20,3,486,0.09032874591627207,0.01155681591089778,0.1075026321114873,0.46502057613168724
forecasting_benchmark_v2,chaotic_esn,RU:WTCMP,WTCMP,RU,20,1,486,0.08127178959479363,0.023545302811342338,0.1534447875013757,0.5843621399176955
forecasting_benchmark_v2,chaotic_esn,RU:WTCMP,WTCMP,RU,20,2,486,0.055058337607488655,0.005601117559434078,0.07484061437103572,0.5041152263374485
forecasting_benchmark_v2,chaotic_esn,RU:WTCMP,WTCMP,RU,20,3,486,0.08596595539494466,0.010438840472327538,0.10217064388721223,0.4506172839506173
forecasting_benchmark_v2,transient_chaotic_esn,RU:WTCMP,WTCMP,RU,20,1,486,0.06925140953533566,0.015486115910490717,0.12444322364231296,0.6296296296296297
forecasting_benchmark_v2,transient_chaotic_esn,RU:WTCMP,WTCMP,RU,20,2,486,0.0551410157291798,0.0056424501662937325,0.07511624435695473,0.5020576131687243
forecasting_benchmark_v2,transient_chaotic_esn,RU:WTCMP,WTCMP,RU,20,3,486,0.08675242174595614,0.010645301187597286,0.10317606887063147,0.4670781893004115
forecasting_benchmark_v2,vanilla_mlp,RU:WTCMP,WTCMP,RU,20,1,486,0.07059003444103039,0.01575906367516011,0.1255351093326489,0.6378600823045267
forecasting_benchmark_v2,vanilla_mlp,RU:WTCMP,WTCMP,RU,20,2,486,0.05513847987310089,0.0055368359750126335,0.07440991852577608,0.4691358024691358
forecasting_benchmark_v2,vanilla_mlp,RU:WTCMP,WTCMP,RU,20,3,486,0.08652193128063067,0.010483658299659925,0.1023897372770334,0.44238683127572015
