run_id,repeat_id,split_seed,method,model,horizon,target_metric,feature_set,candidate_set,n_test_series,achieved_metric,best_single_metric,oracle_metric,improvement_vs_best_single,gap_to_oracle,routing_hit_oracle_rate,classification_accuracy,top2_hit_rate,status,notes
meta_modeling_experiments_v1_20260331T185531Z,3,19988,scoring,random_forest,1,rmse,full_features,top_6,20,0.028000319467315033,0.028000319467315033,0.027977927509849017,0.0,2.239195746601974e-05,0.95,,,success,
meta_modeling_experiments_v1_20260331T185531Z,3,19988,scoring,catboost,1,rmse,full_features,top_6,20,0.028014668127965,0.028000319467315033,0.027977927509849017,-1.4348660649962825e-05,3.674061811598257e-05,0.9,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,ridge,1,directional_accuracy,full_features,top_4,20,0.6655776381238412,0.6655776381238412,0.6667971503189632,0.0,0.001219512195121958,0.8,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,random_forest,1,directional_accuracy,full_features,top_4,20,0.6655776381238412,0.6655776381238412,0.6667971503189632,0.0,0.001219512195121958,0.8,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,catboost,1,directional_accuracy,full_features,top_4,20,0.6655776381238412,0.6655776381238412,0.6667971503189632,0.0,0.001219512195121958,0.8,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,logistic_regression,1,directional_accuracy,full_features,top_4,20,0.6655776381238412,0.6655776381238412,0.6667971503189632,0.0,0.001219512195121958,0.8,0.8,1.0,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,directional_accuracy,full_features,top_4,20,0.6655776381238412,0.6655776381238412,0.6667971503189632,0.0,0.001219512195121958,0.8,0.8,1.0,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,directional_accuracy,full_features,top_4,20,0.6056318685943625,0.6655776381238412,0.6667971503189632,-0.05994576952947887,0.061165281724600826,0.0,0.0,0.8,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,ridge,1,directional_accuracy,full_features,top_4,20,0.6655776381238412,0.6655776381238412,0.6667971503189632,0.0,0.001219512195121958,0.8,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,directional_accuracy,full_features,top_4,20,0.6655776381238412,0.6655776381238412,0.6667971503189632,0.0,0.001219512195121958,0.8,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,catboost,1,directional_accuracy,full_features,top_4,20,0.6655776381238412,0.6655776381238412,0.6667971503189632,0.0,0.001219512195121958,0.8,,,success,
meta_modeling_experiments_v1_20260331T185531Z,2,10015,regression,ridge,1,directional_accuracy,full_features,top_4,20,0.6690067158951191,0.6690067158951191,0.6696418784967451,0.0,0.0006351626016260215,0.95,,,success,
meta_modeling_experiments_v1_20260331T185531Z,2,10015,regression,random_forest,1,directional_accuracy,full_features,top_4,20,0.6690067158951191,0.6690067158951191,0.6696418784967451,0.0,0.0006351626016260215,0.95,,,success,
