run_id,repeat_id,split_seed,horizon,target_metric,meta_model,n_test_series,best_single_model,achieved_mean_metric,oracle_mean_metric,best_single_mean_metric,regret_to_oracle_mean,improvement_vs_best_single_mean,routing_hit_oracle_rate,target_vector_mae,target_vector_rmse,status,notes
meta_modeling_v1_20260331T120829Z,3,19988,5,rmse,ridge,20,naive_zero,0.10679018901398822,0.10325978483337146,0.10364224750433712,0.0035304041806167676,-0.0031479415096510887,0.25,0.051091918689988636,0.09482556950697482,success,
meta_modeling_v1_20260331T120829Z,3,19988,5,rmse,random_forest,20,naive_zero,0.10662563347227949,0.10325978483337146,0.10364224750433712,0.0033658486389080513,-0.0029833859679423724,0.2,0.02192524127770713,0.03374415047980715,success,
meta_modeling_v1_20260331T120829Z,3,19988,5,rmse,catboost,20,naive_zero,0.1042261312653037,0.10325978483337146,0.10364224750433712,0.0009663464319322323,-0.0005838837609665533,0.25,0.02636682356043786,0.03925278040023791,success,
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,ridge,20,esn,0.5229239182832162,0.5315380491697003,0.5247168475761453,0.008614130886484142,-0.0017929292929292878,0.4,0.016393642334708768,0.02138288347101094,success,
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,random_forest,20,esn,0.5255249283842262,0.5315380491697003,0.5247168475761453,0.006013120785474046,0.0008080808080808078,0.5,0.015746631907271536,0.021529934390840406,success,
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,catboost,20,esn,0.5227218980811958,0.5315380491697003,0.5247168475761453,0.008816151088504354,-0.0019949494949494996,0.55,0.016165708036694926,0.022300543120551804,success,
meta_modeling_v1_20260331T120829Z,2,10015,5,directional_accuracy,ridge,20,esn,0.5212360508460626,0.5339243717736151,0.522751202361214,0.012688320927552604,-0.0015151515151515193,0.15,0.018547842548859474,0.024493481584206202,success,
meta_modeling_v1_20260331T120829Z,2,10015,5,directional_accuracy,random_forest,20,esn,0.516741101351113,0.5339243717736151,0.522751202361214,0.0171832704225021,-0.006010101010101016,0.2,0.017917333926531973,0.024288581864501745,success,
meta_modeling_v1_20260331T120829Z,2,10015,5,directional_accuracy,catboost,20,esn,0.5229279700379816,0.5339243717736151,0.522751202361214,0.01099640173563341,0.00017676767676767514,0.25,0.018041900897188726,0.02414708406565847,success,
meta_modeling_v1_20260331T120829Z,3,19988,5,directional_accuracy,ridge,20,esn,0.5142633013301331,0.5335817956795681,0.5177481498149815,0.01931849434943495,-0.0034848484848484795,0.25,0.021534292371773997,0.02887064405750832,success,
meta_modeling_v1_20260331T120829Z,3,19988,5,directional_accuracy,random_forest,20,esn,0.5160309780978098,0.5335817956795681,0.5177481498149815,0.017550817581758187,-0.00171717171717172,0.2,0.02129362051662868,0.027805859571782925,success,
meta_modeling_v1_20260331T120829Z,3,19988,5,directional_accuracy,catboost,20,esn,0.5151976447644764,0.5335817956795681,0.5177481498149815,0.018384150915091515,-0.0025505050505050474,0.3,0.021838111156289877,0.028040241089371108,success,
meta_modeling_v1_20260331T120829Z,1,42,20,rmse,ridge,20,naive_zero,0.18470349195996807,0.18149380086229674,0.18242897770564054,0.0032096910976713764,-0.002274514254327531,0.15,0.05302469519600912,0.08925524589997275,success,
meta_modeling_v1_20260331T120829Z,1,42,20,rmse,random_forest,20,naive_zero,0.18239211225454863,0.18149380086229674,0.18242897770564054,0.000898311392251943,3.686545109190253e-05,0.25,0.027693132616398716,0.036069298598116785,success,
meta_modeling_v1_20260331T120829Z,1,42,20,rmse,catboost,20,naive_zero,0.1840512328854207,0.18149380086229674,0.18242897770564054,0.002557432023123983,-0.0016222551797801376,0.1,0.029654857904675824,0.038683881485576124,success,
meta_modeling_v1_20260331T120829Z,2,10015,20,rmse,ridge,20,naive_zero,0.18272923203576077,0.17607381226251947,0.1775458525202447,0.006655419773241275,-0.005183379515516045,0.1,0.07193226657034545,0.10162162388498994,success,
meta_modeling_v1_20260331T120829Z,2,10015,20,rmse,random_forest,20,naive_zero,0.17756053736070887,0.17607381226251947,0.1775458525202447,0.0014867250981893897,-1.4684840464160297e-05,0.25,0.06120274445916646,0.0999956521280692,success,
meta_modeling_v1_20260331T120829Z,2,10015,20,rmse,catboost,20,naive_zero,0.18030849452625725,0.17607381226251947,0.1775458525202447,0.004234682263737771,-0.0027626420060125416,0.05,0.04506233025329137,0.058688052794356724,success,
meta_modeling_v1_20260331T120829Z,3,19988,20,rmse,ridge,20,naive_zero,0.20593643611398732,0.19307832310165146,0.19478329556650434,0.012858113012335859,-0.01115314054748301,0.05,0.1188348762178139,0.5256580085115007,success,
meta_modeling_v1_20260331T120829Z,3,19988,20,rmse,random_forest,20,naive_zero,0.19459582319742594,0.19307832310165146,0.19478329556650434,0.0015175000957744864,0.00018747236907836474,0.45,0.10564956531520794,0.5540490687284357,success,
