run_id,repeat_id,split_seed,horizon,target_metric,meta_model,series_id,selected_model,oracle_model,best_single_model,achieved_metric,oracle_metric,baseline_metric,regret_to_oracle,improvement_vs_best_single,routing_hit_oracle,predicted_metric_vector,actual_metric_vector,target_model_order,count_models,count_features
meta_modeling_v1_20260331T120829Z,3,19988,5,rmse,catboost,RU:KRKOP,naive_zero,transient_chaotic_esn,naive_zero,0.09397451321600854,0.09384400811736408,0.09397451321600854,0.0001305050986444567,0.0,0,"[0.1328569717926111, 0.12628793312207767, 0.11400430333013015, 0.12344301184506051, 0.11819858269756106, 0.11633350546556046, 0.1176532025567777, 0.1114653945420339, 0.11704513448530132, 0.12052575288906461, 0.11987336912210295]","[0.10336699828950152, 0.10722205896326363, 0.094046940090278, 0.09542531552143406, 0.0938660455915586, 0.09417494582869687, 0.09400216862776072, 0.09397451321600854, 0.09458512196456205, 0.09384400811736408, 0.09721470935290762]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,3,19988,5,rmse,catboost,RU:KROT,chaotic_lstm_forecast,naive_mean,naive_zero,0.14785054977521359,0.14765898312156214,0.14775090611146874,0.00019156665365144265,-9.964366374484723e-05,0,"[0.13533297175954748, 0.13251502693824502, 0.11644883961492285, 0.11950414125953397, 0.11881229773914519, 0.1182395202055831, 0.11841337205688408, 0.11799561952535587, 0.11981477408332128, 0.11926378150430204, 0.11974784694580716]","[0.16673112629208436, 0.15498637887983727, 0.14785054977521359, 0.15103061015139907, 0.16466620904534768, 0.1482238594158093, 0.14765898312156214, 0.14775090611146874, 0.1506625746394185, 0.15789026179876348, 0.14865209603318597]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,3,19988,5,rmse,catboost,RU:KROTP,chaotic_lstm_forecast,naive_mean,naive_zero,0.13365374637443414,0.13255278388517924,0.1326245705744817,0.0011009624892548975,-0.001029175799952431,0,"[0.1408878564241184, 0.1294446743391565, 0.11801102308836084, 0.11825416656789495, 0.12048898992907078, 0.11953922091412689, 0.11820983113438159, 0.11943169796123196, 0.12484705603173285, 0.12406670362449171, 0.1269298562282153]","[0.16301134930213426, 0.14220409050508606, 0.13365374637443414, 0.13604579642237477, 0.14856945938282817, 0.13388555907452143, 0.13255278388517924, 0.1326245705744817, 0.13995445658706837, 0.1476460980328885, 0.13656985979483416]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,3,19988,5,rmse,catboost,RU:KRSB,naive_mean,esn,naive_zero,0.0924739002875488,0.0906296435104461,0.092450673185654,0.001844256777102704,-2.322710189479882e-05,0,"[0.1065030233928102, 0.10499725409411087, 0.09103509637474441, 0.09290866707255052, 0.09305388238910561, 0.09060788749025925, 0.0903331244837049, 0.09040465108070633, 0.09059171592866397, 0.09711421211255425, 0.09349801342510486]","[0.09750385656813662, 0.10570042762352785, 0.09224109045122002, 0.09292493726914844, 0.0906296435104461, 0.09281983828308978, 0.0924739002875488, 0.092450673185654, 0.09189693687288938, 0.09066117586891347, 0.09346069275681423]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,3,19988,5,rmse,catboost,RU:KZOS,transient_chaotic_esn,esn,naive_zero,0.06840273545544247,0.0675734832855811,0.06789638856360031,0.0008292521698613636,-0.0005063468918421604,0,"[0.09862588638896072, 0.10275292934995892, 0.08063542902833501, 0.08387301968034602, 0.08176214918284055, 0.08222675345444155, 0.08189148363907751, 0.08182340144275238, 0.08290087800248092, 0.08050690319836544, 0.0814753512059446]","[0.07116329084274493, 0.08753149436996788, 0.06789899326521853, 0.07145840231317609, 0.0675734832855811, 0.06789153033978042, 0.06811627826898167, 0.06789638856360031, 0.06856935097874967, 0.06840273545544247, 0.07281929389436421]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,3,19988,5,rmse,catboost,RU:MGTS,naive_zero,naive_zero,naive_zero,0.08198354344516476,0.08198354344516476,0.08198354344516476,0.0,0.0,1,"[0.0961078685307564, 0.10380044363783136, 0.08628151861824614, 0.08846638195475098, 0.08627065786851901, 0.08646536378459764, 0.08591341592848718, 0.0858831262548865, 0.08657513891857095, 0.08742597637055319, 0.09042715298174644]","[0.09095540826409791, 0.10050997121372553, 0.08202133781117528, 0.08272905672128522, 0.0831270813594934, 0.08289625334239652, 0.08228713056253417, 0.08198354344516476, 0.08366705001199705, 0.08363468468574761, 0.08503311508606883]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,3,19988,5,rmse,catboost,RU:MGTSP,chaotic_lstm_forecast,naive_zero,naive_zero,0.09587684643674893,0.0957602733143866,0.0957602733143866,0.0001165731223623373,-0.0001165731223623373,0,"[0.10298287854405774, 0.11529924784246484, 0.09583792993506608, 0.09936297531045471, 0.09822535590076958, 0.09707803387797262, 0.09783024423459549, 0.09659373747176639, 0.09793140093921299, 0.09677358811872218, 0.10126536868619902]","[0.10194241028756608, 0.11269165848502283, 0.09587684643674893, 0.09698404347067506, 0.09787434089320037, 0.09643358784321888, 0.09614551398457703, 0.0957602733143866, 0.09746585014650036, 0.09806054638767552, 0.09879052061785183]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,3,19988,5,rmse,catboost,RU:MRKS,lstm_forecast,lstm_forecast,naive_zero,0.12831048237778053,0.12831048237778053,0.1284724176320023,0.0,0.0001619352542217567,1,"[0.11979943996539873, 0.1068245237052516, 0.09938194208131504, 0.10051104101082886, 0.10302368020716449, 0.09876826510172254, 0.10221759650971612, 0.10225943132884704, 0.10400832467701523, 0.10051490840101321, 0.09886152652607827]","[0.14536688868355466, 0.13858648559876136, 0.12936043236488134, 0.13007637263440996, 0.12903620693199122, 0.12831048237778053, 0.12843445208307794, 0.1284724176320023, 0.13124790146799814, 0.12856320301294263, 0.13098661238349055]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,ridge,RU:AFKS,esn,transient_chaotic_esn,esn,0.5348484848484848,0.5434343434343434,0.5348484848484848,0.008585858585858586,0.0,0,"[0.5233599185322975, 0.5060309738274658, 0.5130209215881815, 0.5109764703566237, 0.537392368113527, 0.5017808706735285, 0.5002470284129762, -0.0007268222649421639, 0.5046790393508198, 0.5316873729805837, 0.4977203520165399]","[0.5388888888888889, 0.5111111111111111, 0.5025252525252525, 0.4858585858585859, 0.5348484848484848, 0.5141414141414141, 0.48838383838383836, 0.000505050505050505, 0.5186868686868686, 0.5434343434343434, 0.5151515151515151]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,ridge,RU:AGRO,esn,transient_chaotic_esn,esn,0.5262626262626262,0.5303030303030303,0.5262626262626262,0.004040404040404066,0.0,0,"[0.5176719632341866, 0.4948226173432708, 0.5183300638285375, 0.5070517692732408, 0.5313207873794494, 0.49874069841865204, 0.496195236675253, 0.0030134901579324906, 0.5072959502768857, 0.5285235923310366, 0.4860711910724213]","[0.5297979797979798, 0.5166666666666667, 0.5151515151515151, 0.4580808080808081, 0.5262626262626262, 0.5131313131313131, 0.48333333333333334, 0.0, 0.4717171717171717, 0.5303030303030303, 0.5161616161616162]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
