horizon,target_metric,candidate_set,top_k,candidate_rank,model_name,mean_metric,win_count,gap_to_best,relative_gap_to_best,is_close_to_best
20,rmse,top_4,4,2,naive_mean,0.18286670205765604,48,0.0003920894434245592,0.0021487342146245475,1
20,rmse,top_4,4,3,lstm_forecast,0.18304791968081735,30,0.0005733070665858708,0.0031418456429218237,1
20,rmse,top_4,4,4,chaotic_lstm_forecast,0.18422178964290184,36,0.0017471770286703603,0.009574904714904407,1
20,rmse,top_5,5,1,naive_zero,0.18247461261423148,76,0.0,0.0,1
20,rmse,top_5,5,2,naive_mean,0.18286670205765604,48,0.0003920894434245592,0.0021487342146245475,1
20,rmse,top_5,5,3,lstm_forecast,0.18304791968081735,30,0.0005733070665858708,0.0031418456429218237,1
20,rmse,top_5,5,4,chaotic_lstm_forecast,0.18422178964290184,36,0.0017471770286703603,0.009574904714904407,1
20,rmse,top_5,5,5,ridge_lag,0.18616454862022094,7,0.0036899360059894637,0.02022164044151356,1
20,rmse,top_6,6,1,naive_zero,0.18247461261423148,76,0.0,0.0,1
20,rmse,top_6,6,2,naive_mean,0.18286670205765604,48,0.0003920894434245592,0.0021487342146245475,1
20,rmse,top_6,6,3,lstm_forecast,0.18304791968081735,30,0.0005733070665858708,0.0031418456429218237,1
20,rmse,top_6,6,4,chaotic_lstm_forecast,0.18422178964290184,36,0.0017471770286703603,0.009574904714904407,1
20,rmse,top_6,6,5,ridge_lag,0.18616454862022094,7,0.0036899360059894637,0.02022164044151356,1
20,rmse,top_6,6,6,chaotic_mlp,0.18628311504589573,19,0.0038085024316642513,0.02087140987505908,1
1,directional_accuracy,top_3,3,1,esn,0.6726597465667981,268,0.0,0.0,1
1,directional_accuracy,top_3,3,2,transient_chaotic_esn,0.6656355128194366,31,0.007024233747361497,0.010442476724990053,1
1,directional_accuracy,top_3,3,3,ridge_lag,0.622233172413406,1,0.05042657415339202,0.07496594587496168,0
1,directional_accuracy,top_4,4,1,esn,0.6726597465667981,268,0.0,0.0,1
1,directional_accuracy,top_4,4,2,transient_chaotic_esn,0.6656355128194366,31,0.007024233747361497,0.010442476724990053,1
1,directional_accuracy,top_4,4,3,ridge_lag,0.622233172413406,1,0.05042657415339202,0.07496594587496168,0
1,directional_accuracy,top_4,4,4,chaotic_esn,0.6131928799935865,0,0.05946686657321154,0.08840556741610556,0
1,directional_accuracy,top_5,5,1,esn,0.6726597465667981,268,0.0,0.0,1
1,directional_accuracy,top_5,5,2,transient_chaotic_esn,0.6656355128194366,31,0.007024233747361497,0.010442476724990053,1
1,directional_accuracy,top_5,5,3,ridge_lag,0.622233172413406,1,0.05042657415339202,0.07496594587496168,0
1,directional_accuracy,top_5,5,4,chaotic_esn,0.6131928799935865,0,0.05946686657321154,0.08840556741610556,0
1,directional_accuracy,top_5,5,5,lstm_forecast,0.5168786300033256,0,0.1557811165634725,0.2315897708441258,0
1,directional_accuracy,top_6,6,1,esn,0.6726597465667981,268,0.0,0.0,1
1,directional_accuracy,top_6,6,2,transient_chaotic_esn,0.6656355128194366,31,0.007024233747361497,0.010442476724990053,1
1,directional_accuracy,top_6,6,3,ridge_lag,0.622233172413406,1,0.05042657415339202,0.07496594587496168,0
1,directional_accuracy,top_6,6,4,chaotic_esn,0.6131928799935865,0,0.05946686657321154,0.08840556741610556,0
1,directional_accuracy,top_6,6,5,lstm_forecast,0.5168786300033256,0,0.1557811165634725,0.2315897708441258,0
1,directional_accuracy,top_6,6,6,chaotic_lstm_forecast,0.480715578969238,0,0.19194416759756006,0.28535105389794446,0
5,directional_accuracy,top_3,3,1,esn,0.5293834842564988,109,0.0,0.0,1
5,directional_accuracy,top_3,3,2,transient_chaotic_esn,0.5263421250062124,53,0.0030413592502864795,0.005745096590155179,1
5,directional_accuracy,top_3,3,3,chaotic_esn,0.5151268425203679,27,0.014256641736130948,0.026930650766625104,1
5,directional_accuracy,top_4,4,1,esn,0.5293834842564988,109,0.0,0.0,1
