run_id,repeat_id,split_seed,method,model,horizon,target_metric,feature_set,candidate_set,series_id,predicted_top1_model,predicted_top2_model,confidence,class_probability_json
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:KMAZ,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:KOGK,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:KUBE,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:LSRG,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:MISB,esn,transient_chaotic_esn,0.96,"{""chaotic_esn"": 0.0, ""esn"": 0.96, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.04}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:MRKP,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:MRKU,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:AFKS,chaotic_esn,esn,0.9963913415865289,"{""chaotic_esn"": 0.9963913415865289, ""esn"": 0.0036086584134711296, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:AGRO,chaotic_esn,esn,0.9964852178021772,"{""chaotic_esn"": 0.9964852178021772, ""esn"": 0.0035147821978227037, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:BRZL,chaotic_esn,esn,0.9944372633400707,"{""chaotic_esn"": 0.9944372633400707, ""esn"": 0.0055627366599293624, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:CHGZ,chaotic_esn,esn,0.9852685875095789,"{""chaotic_esn"": 0.9852685875095789, ""esn"": 0.014731412490421139, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:CHMK,chaotic_esn,esn,0.9947632429262137,"{""chaotic_esn"": 0.9947632429262137, ""esn"": 0.005236757073786375, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:CNTL,chaotic_esn,esn,0.993884551286478,"{""chaotic_esn"": 0.993884551286478, ""esn"": 0.006115448713522006, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:DIOD,chaotic_esn,esn,0.9979820682871547,"{""chaotic_esn"": 0.9979820682871547, ""esn"": 0.002017931712845283, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:ELFV,chaotic_esn,esn,0.9971513003691306,"{""chaotic_esn"": 0.9971513003691306, ""esn"": 0.0028486996308693872, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
