feature_name,importance,run_id,repeat_id,split_seed,method,model,horizon,target_metric,feature_set,candidate_set
abs_acf_lag_2,0.123811750038959,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
abs_acf_lag_5,0.20478438596556034,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
abs_acf_lag_10,0.04207424908399348,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
abs_acf_lag_25,0.01231154474307778,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
abs_acf_lag_50,0.000553447185325743,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
vr_q10,0.010435286784185389,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
lb_ret_stat_50,0.03563971728957993,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
lz_complexity,0.028191798549260683,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
permutation_entropy,0.019030897406376254,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
spectral_flatness,0.09785796652082437,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
kurtosis,0.0434446665316643,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
robust_kurtosis,0.09040991706160828,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
tail_ratio_upper,0.05016718856012816,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
hill_tail_index,0.01624590930341281,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
correlation_dimension,0.14917636058631026,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
embedding_dimension,0.004090696587190275,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
selected_delay_tau,0.00818139317438055,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
hurst_rs,5.797547375803246,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
hurst_dfa,3.8183113355266256,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
acf_lag_2,1.8118569246079985,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
acf_lag_5,5.401064887965778,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
acf_lag_10,3.5690001206110313,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
acf_lag_25,3.203926971599117,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
acf_lag_50,2.3983423583362624,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
acf_lag_100,3.14564210926361,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
abs_acf_lag_2,6.870050584144466,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
abs_acf_lag_5,3.86424757591879,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
abs_acf_lag_10,3.1079931650484887,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
abs_acf_lag_25,3.857857256209478,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
abs_acf_lag_50,4.306135111782918,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
vr_q10,5.182061359892575,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
lb_ret_stat_50,4.711551586186199,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
lz_complexity,4.4648480018739685,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
permutation_entropy,3.5083365856479842,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
spectral_flatness,5.817632646154851,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
kurtosis,5.335826821952658,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
robust_kurtosis,3.9331232493139936,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
tail_ratio_upper,6.091547039090439,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
hill_tail_index,2.6363916855436607,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
correlation_dimension,3.5105351144048162,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
embedding_dimension,2.6327300293659217,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
selected_delay_tau,1.0234401037550918,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4
hurst_rs,0.00019594830224266909,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
hurst_dfa,0.0008583550393179646,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
acf_lag_2,0.0006957680325434276,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
acf_lag_5,0.015269295254190992,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
acf_lag_10,0.019698235019996947,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
acf_lag_25,0.00019729997355008003,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
acf_lag_50,0.4390798196798593,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
acf_lag_100,0.00024663717849000345,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
abs_acf_lag_2,0.0014844778666572465,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
abs_acf_lag_5,0.06765389637021844,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
abs_acf_lag_10,0.15594501728804291,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
abs_acf_lag_25,0.11645838557746446,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
abs_acf_lag_50,0.0002520245544829641,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
vr_q10,0.024556388035456154,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
lb_ret_stat_50,0.039986549297700444,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
lz_complexity,7.15207161740942e-05,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
permutation_entropy,8.196912351410335e-05,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
spectral_flatness,0.03902704142529283,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
kurtosis,0.015323810305284891,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
robust_kurtosis,0.001268748301193087,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
tail_ratio_upper,0.005550949085879716,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
hill_tail_index,0.05033214601673139,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
correlation_dimension,0.0003207898563618036,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
embedding_dimension,2.6551412360025012e-05,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
selected_delay_tau,0.00017134214344792734,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
model__chaotic_esn,0.0012937746954631243,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
model__esn,0.000648678319680438,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
model__ridge_lag,0.002487712852344937,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
model__transient_chaotic_esn,0.0008168682760575586,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_4
hurst_rs,0.0783778921445329,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,catboost,1,rmse,full_features,top_4
hurst_dfa,4.4622978597928675,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,catboost,1,rmse,full_features,top_4
acf_lag_2,1.00419095391299,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,catboost,1,rmse,full_features,top_4
acf_lag_5,11.510508772400343,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,catboost,1,rmse,full_features,top_4
acf_lag_10,5.28517336196325,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,catboost,1,rmse,full_features,top_4
acf_lag_25,0.5375261498958477,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,catboost,1,rmse,full_features,top_4
acf_lag_50,8.537309190545894,meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,catboost,1,rmse,full_features,top_4
