model,horizon,target_metric,candidate_set,feature_set,balancing_mode,decision_rule,confidence_threshold,n_repeats,achieved_metric_mean,achieved_metric_std,best_single_metric_mean,oracle_metric_mean,improvement_mean,gap_mean,routing_hit_oracle_rate_mean,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,weighted_f1_mean,top2_hit_rate_mean,fallback_rate_mean
catboost_classifier,20,directional_accuracy,top_4,full_features,balanced,confidence_fallback_0.80,0.8,5,0.5116589904239268,0.0045811846700949494,0.5116589904239268,0.5280364880130625,0.0,0.016377497589135752,0.22333333333333333,0.22333333333333333,0.25,0.0906255566393825,0.08416444010913667,0.42333333333333334,1.0
catboost_classifier,20,directional_accuracy,top_4,full_features,balanced,top_1,,5,0.511757052874268,0.005694290161711355,0.5116589904239268,0.5280364880130625,9.806245034113345e-05,0.016279435138794617,0.32666666666666666,0.32666666666666666,0.26239080364080364,0.2463512251409287,0.31028997683803516,0.6166666666666666,0.0
catboost_classifier,20,directional_accuracy,top_4,full_features,default,confidence_fallback_0.50,0.5,5,0.5137084926420832,0.006203170596990979,0.5116589904239268,0.5280364880130625,0.002049502218156389,0.014327995370979363,0.32999999999999996,0.32999999999999996,0.2923439060939061,0.20333207672959458,0.2685522071470431,0.5599999999999999,0.6933333333333334
catboost_classifier,20,directional_accuracy,top_4,full_features,default,confidence_fallback_0.60,0.6,5,0.5129894966766557,0.005170729718083618,0.5116589904239268,0.5280364880130625,0.0013305062527289237,0.015046991336406829,0.2733333333333333,0.2733333333333333,0.271703712953713,0.153527751348631,0.18843430617730364,0.4833333333333334,0.9033333333333333
catboost_classifier,20,directional_accuracy,top_4,full_features,default,confidence_fallback_0.70,0.7,5,0.5123994884298166,0.005826255939880078,0.5116589904239268,0.5280364880130625,0.0007404980058898547,0.015636999583245898,0.22999999999999998,0.22999999999999998,0.24487637362637363,0.10737441342321899,0.11724727005159344,0.44000000000000006,0.9666666666666666
catboost_classifier,20,directional_accuracy,top_4,full_features,default,confidence_fallback_0.80,0.8,5,0.5115564406176862,0.004607922068068841,0.5116589904239268,0.5280364880130625,-0.00010254980624057313,0.016480047395376323,0.21666666666666665,0.21666666666666665,0.24041666666666667,0.08822753086997834,0.08238098852761659,0.42333333333333334,0.9933333333333334
catboost_classifier,20,directional_accuracy,top_4,full_features,default,top_1,,5,0.5104410790663519,0.006421183325634462,0.5116589904239268,0.5280364880130625,-0.0012179113575749364,0.01759540894671069,0.32333333333333336,0.32333333333333336,0.23738442113442115,0.21704453254343142,0.28607959800072735,0.6366666666666667,0.0
catboost_classifier,20,directional_accuracy,top_4,full_plus_basic_features,balanced,confidence_fallback_0.50,0.5,5,0.5147405930247329,0.0064038587884901865,0.5116589904239268,0.5280364880130625,0.003081602600806115,0.013295894988329638,0.31333333333333335,0.31333333333333335,0.27826985514485514,0.20188574887868396,0.2646475054315799,0.52,0.75
catboost_classifier,20,directional_accuracy,top_4,full_plus_basic_features,balanced,confidence_fallback_0.60,0.6,5,0.5141656265200351,0.00589939345760746,0.5116589904239268,0.5280364880130625,0.002506636096108292,0.013870861493027459,0.2866666666666667,0.2866666666666667,0.27496545121545124,0.1685403111055625,0.2164985002703757,0.47333333333333333,0.8800000000000001
catboost_classifier,20,directional_accuracy,top_4,full_plus_basic_features,balanced,confidence_fallback_0.70,0.7,5,0.5130957963033242,0.005355339471296769,0.5116589904239268,0.5280364880130625,0.0014368058793975355,0.014940691709738215,0.26666666666666666,0.26666666666666666,0.2718639693639694,0.14508697099472712,0.17440669034129982,0.44666666666666666,0.9366666666666668
