horizon,scenario,model_name,family,rmse,n_predictions,share_squared_error,winner_rank
20,winsorize_top_1pct_by_abs_y_true,naive_mean,baseline,0.11622976915779658,602418,,2.0
20,winsorize_top_1pct_by_abs_y_true,naive_zero,baseline,0.11506709671405552,602418,,1.0
20,winsorize_top_1pct_by_abs_y_true,ridge_lag,linear,0.12015973206173639,602418,,5.0
20,winsorize_top_1pct_by_abs_y_true,transient_chaotic_esn,chaos_inspired,0.1265089289833791,602418,,10.0
20,winsorize_top_1pct_by_abs_y_true,vanilla_mlp,neural_or_reservoir,0.12391005497432862,602418,,9.0
20,trim_top_5pct_by_abs_y_true,chaotic_esn,chaos_inspired,0.11699134004378176,572297,,11.0
20,trim_top_5pct_by_abs_y_true,chaotic_logistic_net,chaos_inspired,0.09189416382510635,572297,,9.0
20,trim_top_5pct_by_abs_y_true,chaotic_lstm_forecast,chaos_inspired,0.08618638728346674,572297,,4.0
20,trim_top_5pct_by_abs_y_true,chaotic_mlp,chaos_inspired,0.09044847485985832,572297,,7.0
20,trim_top_5pct_by_abs_y_true,esn,neural_or_reservoir,0.08975693476512484,572297,,6.0
20,trim_top_5pct_by_abs_y_true,lstm_forecast,neural_or_reservoir,0.0847579343742094,572297,,3.0
20,trim_top_5pct_by_abs_y_true,naive_mean,baseline,0.08419368172390146,572297,,2.0
20,trim_top_5pct_by_abs_y_true,naive_zero,baseline,0.08256610492266107,572297,,1.0
20,trim_top_5pct_by_abs_y_true,ridge_lag,linear,0.08873667016053327,572297,,5.0
20,trim_top_5pct_by_abs_y_true,transient_chaotic_esn,chaos_inspired,0.09639256358503998,572297,,10.0
20,trim_top_5pct_by_abs_y_true,vanilla_mlp,neural_or_reservoir,0.09060048104123358,572297,,8.0
20,winsorize_top_5pct_by_abs_y_true,chaotic_esn,chaos_inspired,0.1325126039531338,602418,,11.0
20,winsorize_top_5pct_by_abs_y_true,chaotic_logistic_net,chaos_inspired,0.10638947737420403,602418,,8.0
20,winsorize_top_5pct_by_abs_y_true,chaotic_lstm_forecast,chaos_inspired,0.1014845017543776,602418,,4.0
20,winsorize_top_5pct_by_abs_y_true,chaotic_mlp,chaos_inspired,0.10527268658507759,602418,,7.0
20,winsorize_top_5pct_by_abs_y_true,esn,neural_or_reservoir,0.10501223168176525,602418,,6.0
20,winsorize_top_5pct_by_abs_y_true,lstm_forecast,neural_or_reservoir,0.10012511771383208,602418,,3.0
20,winsorize_top_5pct_by_abs_y_true,naive_mean,baseline,0.09949940739883593,602418,,2.0
20,winsorize_top_5pct_by_abs_y_true,naive_zero,baseline,0.09810067172900153,602418,,1.0
20,winsorize_top_5pct_by_abs_y_true,ridge_lag,linear,0.10419498545057093,602418,,5.0
20,winsorize_top_5pct_by_abs_y_true,transient_chaotic_esn,chaos_inspired,0.11138571360514275,602418,,10.0
20,winsorize_top_5pct_by_abs_y_true,vanilla_mlp,neural_or_reservoir,0.1086427752044193,602418,,9.0
20,trim_top_1pct_by_sq_err,chaotic_esn,chaos_inspired,0.1122193811092444,594737,,10.0
20,trim_top_1pct_by_sq_err,chaotic_logistic_net,chaos_inspired,0.11271579855662085,596505,,11.0
20,trim_top_1pct_by_sq_err,chaotic_lstm_forecast,chaos_inspired,0.10801730951488417,596668,,4.0
20,trim_top_1pct_by_sq_err,chaotic_mlp,chaos_inspired,0.1114510148024052,596530,,9.0
20,trim_top_1pct_by_sq_err,esn,neural_or_reservoir,0.10981748543913594,596376,,7.0
20,trim_top_1pct_by_sq_err,lstm_forecast,neural_or_reservoir,0.10753456306698572,596828,,3.0
20,trim_top_1pct_by_sq_err,naive_mean,baseline,0.10738989520269628,596935,,2.0
20,trim_top_1pct_by_sq_err,naive_zero,baseline,0.10632436944327482,597004,,1.0
20,trim_top_1pct_by_sq_err,ridge_lag,linear,0.10937361774456722,596427,,6.0
20,trim_top_1pct_by_sq_err,transient_chaotic_esn,chaos_inspired,0.11077635753335895,595809,,8.0
20,trim_top_1pct_by_sq_err,vanilla_mlp,neural_or_reservoir,0.10929841141161609,596513,,5.0
20,winsorize_top_1pct_by_sq_err,chaotic_esn,chaos_inspired,0.12470118818957707,602418,,11.0
20,winsorize_top_1pct_by_sq_err,chaotic_logistic_net,chaos_inspired,0.12239391058725055,602418,,10.0
20,winsorize_top_1pct_by_sq_err,chaotic_lstm_forecast,chaos_inspired,0.11785724975020702,602418,,4.0
20,winsorize_top_1pct_by_sq_err,chaotic_mlp,chaos_inspired,0.12120188750177967,602418,,8.0
20,winsorize_top_1pct_by_sq_err,esn,neural_or_reservoir,0.11996419587025785,602418,,7.0
20,winsorize_top_1pct_by_sq_err,lstm_forecast,neural_or_reservoir,0.11715542645238068,602418,,3.0
20,winsorize_top_1pct_by_sq_err,naive_mean,baseline,0.11684693515901924,602418,,2.0
20,winsorize_top_1pct_by_sq_err,naive_zero,baseline,0.11576203239636347,602418,,1.0
20,winsorize_top_1pct_by_sq_err,ridge_lag,linear,0.11947972117917467,602418,,6.0
20,winsorize_top_1pct_by_sq_err,transient_chaotic_esn,chaos_inspired,0.12173498611482096,602418,,9.0
20,winsorize_top_1pct_by_sq_err,vanilla_mlp,neural_or_reservoir,0.11927245825158773,602418,,5.0
20,trim_top_5pct_by_sq_err,chaotic_esn,chaos_inspired,0.08742782532406401,568795,,9.0
20,trim_top_5pct_by_sq_err,chaotic_logistic_net,chaos_inspired,0.0895220512667695,571243,,11.0
20,trim_top_5pct_by_sq_err,chaotic_lstm_forecast,chaos_inspired,0.08518929024007577,573310,,4.0
20,trim_top_5pct_by_sq_err,chaotic_mlp,chaos_inspired,0.08837191168031526,571818,,10.0
20,trim_top_5pct_by_sq_err,esn,neural_or_reservoir,0.08656163450591646,572113,,7.0
20,trim_top_5pct_by_sq_err,lstm_forecast,neural_or_reservoir,0.08491123599764937,573736,,3.0
20,trim_top_5pct_by_sq_err,naive_mean,baseline,0.08484311311143485,574015,,2.0
20,trim_top_5pct_by_sq_err,naive_zero,baseline,0.08390763291014099,574491,,1.0
20,trim_top_5pct_by_sq_err,ridge_lag,linear,0.08626198347781698,572417,,6.0
20,trim_top_5pct_by_sq_err,transient_chaotic_esn,chaos_inspired,0.0869180150323534,570835,,8.0
20,trim_top_5pct_by_sq_err,vanilla_mlp,neural_or_reservoir,0.086154175775187,572495,,5.0
20,winsorize_top_5pct_by_sq_err,chaotic_esn,chaos_inspired,0.10484841658652225,602418,,10.0
20,winsorize_top_5pct_by_sq_err,chaotic_logistic_net,chaos_inspired,0.10535992383799465,602418,,11.0
20,winsorize_top_5pct_by_sq_err,chaotic_lstm_forecast,chaos_inspired,0.10087448510174807,602418,,4.0
20,winsorize_top_5pct_by_sq_err,chaotic_mlp,chaos_inspired,0.10416129322101966,602418,,9.0
20,winsorize_top_5pct_by_sq_err,esn,neural_or_reservoir,0.10256471366174506,602418,,7.0
20,winsorize_top_5pct_by_sq_err,lstm_forecast,neural_or_reservoir,0.100438561072159,602418,,3.0
20,winsorize_top_5pct_by_sq_err,naive_mean,baseline,0.10024415408080461,602418,,2.0
20,winsorize_top_5pct_by_sq_err,naive_zero,baseline,0.09925005860297458,602418,,1.0
20,winsorize_top_5pct_by_sq_err,ridge_lag,linear,0.10217608246646563,602418,,6.0
20,winsorize_top_5pct_by_sq_err,transient_chaotic_esn,chaos_inspired,0.1034685443232099,602418,,8.0
20,winsorize_top_5pct_by_sq_err,vanilla_mlp,neural_or_reservoir,0.10205141176879678,602418,,5.0
