horizon,model_name,family,rmse_mean,rmse_std,mae_mean,mae_std,da_mean,n_tasks,rmse_rank,mae_rank,rmse_mae_rank_delta,pearson_rmse_mae,spearman_rmse_mae,n_model_tasks,best_fixed_rmse,best_fixed_mae
5,lstm_forecast,neural_or_reservoir,0.059885049334827294,0.053741115886909586,0.038028750419227986,0.020943738753406407,0.49657196799022596,1254,3.0,3.0,0.0,0.9085145199673634,0.9668413814398228,13794,naive_zero,naive_zero
5,naive_mean,baseline,0.059650888616664025,0.05354656221687393,0.037788102910486635,0.020831459888229237,0.5065629888401411,1254,2.0,2.0,0.0,0.9085145199673634,0.9668413814398228,13794,naive_zero,naive_zero
5,naive_zero,baseline,0.05951960951971484,0.05352496099806618,0.03758154058556576,0.020750685383448333,0.018234120848950142,1254,1.0,1.0,0.0,0.9085145199673634,0.9668413814398228,13794,naive_zero,naive_zero
5,ridge_lag,linear,0.06087233382513329,0.05367180664521033,0.03915047180437433,0.02258693753314342,0.5020307528940267,1254,7.0,6.0,-1.0,0.9085145199673634,0.9668413814398228,13794,naive_zero,naive_zero
5,transient_chaotic_esn,chaos_inspired,0.06146668814525312,0.05410713684109122,0.03970292544344004,0.022957658214530337,0.5019966526823242,1254,9.0,9.0,0.0,0.9085145199673634,0.9668413814398228,13794,naive_zero,naive_zero
5,vanilla_mlp,neural_or_reservoir,0.06077632205004981,0.054227940402347734,0.039086923340888466,0.02251571738087883,0.4974475516535878,1254,5.0,5.0,0.0,0.9085145199673634,0.9668413814398228,13794,naive_zero,naive_zero
20,chaotic_esn,chaos_inspired,0.1258964033643924,0.11923638059745136,0.08770411673458268,0.058217217850640476,0.5167533695083334,1254,11.0,11.0,0.0,0.9490514694598828,0.9824443585581225,13794,naive_zero,naive_zero
20,chaotic_logistic_net,chaos_inspired,0.11961418413563304,0.08993402149106537,0.0865189426776195,0.0487074599993167,0.5039867924363737,1254,10.0,10.0,0.0,0.9490514694598828,0.9824443585581225,13794,naive_zero,naive_zero
20,chaotic_lstm_forecast,chaos_inspired,0.11501126641360497,0.08975696678313784,0.08138450937337544,0.04830862746087942,0.5143409060003373,1254,4.0,4.0,0.0,0.9490514694598828,0.9824443585581225,13794,naive_zero,naive_zero
20,chaotic_mlp,chaos_inspired,0.11827402642539259,0.0895048204940038,0.08515452599111836,0.04918256967672838,0.4990725142102161,1254,8.0,9.0,1.0,0.9490514694598828,0.9824443585581225,13794,naive_zero,naive_zero
20,esn,neural_or_reservoir,0.1170514768975257,0.09209078758116904,0.0833762571047681,0.05004940182334575,0.5172841751820393,1254,7.0,7.0,0.0,0.9490514694598828,0.9824443585581225,13794,naive_zero,naive_zero
20,lstm_forecast,neural_or_reservoir,0.11428457865423958,0.08914394949360768,0.08077241267567083,0.04729230404809829,0.516211608214844,1254,3.0,3.0,0.0,0.9490514694598828,0.9824443585581225,13794,naive_zero,naive_zero
20,naive_mean,baseline,0.11393068501246201,0.08930415612965975,0.08055983981618872,0.04681392752252394,0.5253711129354567,1254,2.0,2.0,0.0,0.9490514694598828,0.9824443585581225,13794,naive_zero,naive_zero
20,naive_zero,baseline,0.11294518269888441,0.08903020400236998,0.07932925849125391,0.04622818701472152,0.007298793675132788,1254,1.0,1.0,0.0,0.9490514694598828,0.9824443585581225,13794,naive_zero,naive_zero
20,ridge_lag,linear,0.11618598765912215,0.08715042186192329,0.08281410742771897,0.04905514639110035,0.5183468911155182,1254,5.0,6.0,1.0,0.9490514694598828,0.9824443585581225,13794,naive_zero,naive_zero
20,transient_chaotic_esn,chaos_inspired,0.11925105313176744,0.09527289741951439,0.08477573707357479,0.05232374450173122,0.5173274589657749,1254,9.0,8.0,-1.0,0.9490514694598828,0.9824443585581225,13794,naive_zero,naive_zero
20,vanilla_mlp,neural_or_reservoir,0.11655937239193404,0.0894437615616153,0.0827908274702863,0.048531653721421424,0.5085491742435035,1254,6.0,5.0,-1.0,0.9490514694598828,0.9824443585581225,13794,naive_zero,naive_zero
