model_name,family,horizon,test_rmse_mean,test_rmse_std,test_mae_mean,test_da_mean,fit_seconds_mean,n_tasks,rmse_cv_across_tasks,final_train_loss,final_val_loss,validation_train_gap,actual_epochs_used,early_stopping_reason
chaotic_mlp,chaos_inspired,5,0.06078439491109862,0.05353146932907164,0.03924407753172448,0.49474016529394366,0.16406076283877763,1254,0.8806778352793528,0.005040374196075376,0.0042648278176784515,-0.0007755463783969243,2.0,max_epochs_reached
chaotic_mlp,chaos_inspired,20,0.11827402642539259,0.0895048204940038,0.08515452599111836,0.4990725142102161,0.15116331626726012,1254,0.7567580406207237,0.005040374196075376,0.0042648278176784515,-0.0007755463783969243,2.0,max_epochs_reached
esn,neural_or_reservoir,1,0.028912673029285442,0.03648337635608863,0.017101825668583884,0.49250631768914055,0.6008317909897227,1254,1.2618472293839755,,,,,
esn,neural_or_reservoir,5,0.061184109501815104,0.053654993713362284,0.039384049106704,0.5019029674506928,0.3122320757572895,1254,0.8769432807021657,,,,,
esn,neural_or_reservoir,20,0.1170514768975257,0.09209078758116904,0.0833762571047681,0.5172841751820393,0.18064818835658158,1254,0.7867545973964187,,,,,
lstm_forecast,neural_or_reservoir,1,0.028487788038327383,0.03656722776801934,0.01673490285809771,0.4854297046683988,0.8135955919461902,1254,1.2836106376115235,0.0009419316810644453,0.003808077424764633,0.002866145743700188,2.0,max_epochs_reached
lstm_forecast,neural_or_reservoir,5,0.059885049334827294,0.053741115886909586,0.038028750419227986,0.49657196799022596,0.4725960798242127,1254,0.8974045522853968,0.0009419316810644453,0.003808077424764633,0.002866145743700188,2.0,max_epochs_reached
lstm_forecast,neural_or_reservoir,20,0.11428457865423958,0.08914394949360768,0.08077241267567083,0.516211608214844,0.2926586271932583,1254,0.7800173089258771,0.0009419316810644453,0.003808077424764633,0.002866145743700188,2.0,max_epochs_reached
naive_mean,baseline,1,0.028440331771595342,0.0370799060652336,0.016656578337204363,0.482672728662215,5.832336514098704e-05,1254,1.3037789559918915,,,,,
naive_mean,baseline,5,0.059650888616664025,0.05354656221687393,0.037788102910486635,0.5065629888401411,5.940638033805365e-05,1254,0.8976657927257634,,,,,
naive_mean,baseline,20,0.11393068501246201,0.08930415612965975,0.08055983981618872,0.5253711129354567,5.811881898765703e-05,1254,0.783846389757873,,,,,
naive_zero,baseline,1,0.02842853095020389,0.03707879888899097,0.01661373154930984,0.043436592057274126,1.3861244429642575e-06,1254,1.304281215020892,,,,,
naive_zero,baseline,5,0.05951960951971484,0.05352496099806618,0.03758154058556576,0.018234120848950142,1.2783902089009017e-06,1254,0.8992827982236168,,,,,
naive_zero,baseline,20,0.11294518269888441,0.08903020400236998,0.07932925849125391,0.007298793675132788,1.3162680551412693e-06,1254,0.7882603035822028,,,,,
ridge_lag,linear,1,0.02876622463286114,0.03725014551420996,0.0170874875231813,0.48900213896637346,0.0011332594094043405,1254,1.2949264628788721,,,,,
ridge_lag,linear,5,0.06087233382513329,0.05367180664521033,0.03915047180437433,0.5020307528940267,0.0008874494421624087,1254,0.8817110051898492,,,,,
ridge_lag,linear,20,0.11618598765912215,0.08715042186192329,0.08281410742771897,0.5183468911155182,0.0008019767940676425,1254,0.7500940829251609,,,,,
transient_chaotic_esn,chaos_inspired,1,0.02891024249827575,0.03636619413272069,0.017103820899922722,0.49181472238883855,0.5218136129984643,1254,1.2579000032562726,,,,,
transient_chaotic_esn,chaos_inspired,5,0.06146668814525312,0.05410713684109122,0.03970292544344004,0.5019966526823242,0.2660151216896077,1254,0.8802676453501057,,,,,
transient_chaotic_esn,chaos_inspired,20,0.11925105313176744,0.09527289741951439,0.08477573707357479,0.5173274589657749,0.13427220574166832,1254,0.7989270947086884,,,,,
vanilla_mlp,neural_or_reservoir,1,0.028866864176582366,0.038163465801079106,0.017358141952128803,0.48488422780473883,0.16669695789436884,1254,1.3220509705393775,0.001140164334386114,0.004099708981812,0.002959544647425886,2.0,max_epochs_reached
vanilla_mlp,neural_or_reservoir,5,0.06077632205004981,0.054227940402347734,0.039086923340888466,0.4974475516535878,0.12600808620336929,1254,0.8922543940334291,0.001140164334386114,0.004099708981812,0.002959544647425886,2.0,max_epochs_reached
vanilla_mlp,neural_or_reservoir,20,0.11655937239193404,0.0894437615616153,0.0827908274702863,0.5085491742435035,0.10883724058988843,1254,0.7673665336911583,0.001140164334386114,0.004099708981812,0.002959544647425886,2.0,max_epochs_reached
