scope,horizon,feature,pearson_corr_mean,spearman_corr_mean,mean_abs_change,median_abs_change,coefficient_of_variation_mean,psi_mean,n_series,stability_score
RU,5,acf_lag_100,0.5812279641444055,0.5959996144206671,0.022778456691652228,0.0166701886481561,3.3273042647929265,0.24775076853334985,209,0.4172468627543532
RU,5,abs_acf_lag_2,0.5342365612571695,0.5067861962598804,0.09193310859400569,0.07031520328731738,0.4149523408695319,1.4520229563477358,209,0.413437431399017
RU,5,abs_acf_lag_5,0.528807142923542,0.5100018402649982,0.05836155719926368,0.04449572905350849,0.4765836015091455,1.420641392288011,209,0.41514059057514036
RU,5,abs_acf_lag_10,0.5800138788456602,0.5469626864363707,0.05042632920240084,0.037822079612328266,1.1557174949148332,1.090230642396078,209,0.4346652795708251
RU,5,abs_acf_lag_25,0.5814538066964242,0.5315478381267855,0.04149527357656563,0.03407397360967782,4.886355835922549,0.7690957058788523,209,0.24877526103671546
RU,5,abs_acf_lag_50,0.5153483718956257,0.46344269765322393,0.037509422620087995,0.029973001834887006,9.45626439747465,0.3868808999539548,209,-0.02871456721820629
RU,5,vr_q10,0.7971384075083504,0.8225287870024713,0.13927001724410895,0.10417790103290314,0.1404354600867722,0.21042701299916278,209,0.8049856633481746
RU,5,lb_ret_stat_50,0.40730376712321,0.4047386823702613,36.68754968620136,26.05113034318957,0.3086479725639164,1.161068774631807,209,0.3312528450104751
RU,5,lz_complexity,0.753249425550628,0.7377911435164045,0.023148311208692148,0.019043013420943833,0.01736886127450904,2.8580812551996924,209,0.5940186376926944
RU,5,permutation_entropy,0.6470132550360513,0.5743191019506808,0.0013896417487742002,0.0007539069784001651,0.0011223656468288042,0.5091516577572285,209,0.548805400780478
RU,5,spectral_flatness,0.5136110972378193,0.5685323448481343,0.1215831323602591,0.13170665880706955,0.11610918567613428,6.614497989072319,209,0.2320019861107116
RU,5,kurtosis,0.5187569432361311,0.3044551939288782,23.346751019353093,10.68722852580979,0.6830142629329503,2.717096680388694,209,0.13444964676279597
RU,5,robust_kurtosis,0.7653914052759877,0.7993672993672994,0.13153461431095156,0.08447565513775102,0.058991986127403015,0.20735212616116308,209,0.7860500937528712
RU,5,tail_ratio_upper,0.7590531097195895,0.7814023695602644,2.7432405579010988,1.3925107883511112,0.19033272754807135,0.35210442536015235,209,0.7542805119148533
RU,5,hill_tail_index,0.6083570156938828,0.610277880014722,0.5785257732797652,0.40847760957228685,0.1686963413236706,1.211550954984873,209,0.5412655151992949
RU,5,correlation_dimension,0.5551158727229413,0.5488152198678514,0.868003252783752,0.724118967661179,0.23735468708628585,0.5074372538220622,209,0.511575622822434
RU,5,embedding_dimension,0.0929047088593587,0.07260190515953649,1.901116427432217,2.0,0.22050968004139976,0.5126074522807169,209,0.035946048543430656
RU,5,selected_delay_tau,0.144809039875492,0.1755037598845959,1.2567783094098883,1.0,0.2836683953479629,0.17177508365697455,209,0.15273158593434902
RU,20,hurst_rs,0.7685482415900267,0.7892230576441103,0.033328076383724606,0.02523133583092263,0.050370616788575996,0.40408712446665257,209,0.7665001705813489
RU,20,hurst_dfa,0.7045967212713266,0.696886008728114,0.04943695402488602,0.03597804750909095,0.0843251761855832,0.7003492099622631,209,0.6576522894207217
RU,20,acf_lag_2,0.5425841677650053,0.5334257847415742,0.053776485987652806,0.04182378250366356,4.99622377104393,0.23216356540523977,209,0.2720064179191157
RU,20,acf_lag_5,0.5859570953335344,0.552842333105491,0.034414119496747726,0.025336682078329988,6.6321186994124535,0.24511548539864983,209,0.20898062386493585
RU,20,acf_lag_10,0.6629704106885803,0.6269300874564032,0.02823981655021509,0.021660857449357272,1.7345063624815797,0.2519977705875121,209,0.5276048808029485
RU,20,acf_lag_25,0.5947833748866188,0.5830577317419423,0.027477339530743907,0.02133541719948626,2.5720657245673744,0.5862090069007849,209,0.42514399516853435
RU,20,acf_lag_50,0.637917632723009,0.5957559983875774,0.024527614907979122,0.017363038889543523,3.3243627981552346,0.2931824278992375,209,0.4148787370848538
RU,20,acf_lag_100,0.5872947458769701,0.6022503811977497,0.02258286412589189,0.016532413406017098,4.542824109456835,0.23295436887452114,209,0.36346145728118184
RU,20,abs_acf_lag_2,0.5279359347073674,0.49899092135934237,0.09224462066707285,0.071081070336461,0.41589755203175005,1.4468610158093698,209,0.4058529929672864
RU,20,abs_acf_lag_5,0.5377119926221319,0.5098791559317876,0.05864214259280261,0.04500341658741891,0.4800026184153997,1.405319272193798,209,0.4156130614013277
RU,20,abs_acf_lag_10,0.5799099649562448,0.5478149043938518,0.050380222372723396,0.038087106225678125,1.5560122161846146,1.114074700054962,209,0.414310558581873
RU,20,abs_acf_lag_25,0.5843984394400847,0.5398434898434898,0.041630840632977055,0.03473243349628341,2.9419697921799486,0.7570737092033465,209,0.3548913147743251
RU,20,abs_acf_lag_50,0.5215221505669431,0.47199554831133766,0.037248169097580164,0.02998181438848114,2.9211851897734267,0.38950393808227696,209,0.3064610919185525
RU,20,vr_q10,0.7986870922927373,0.8239195015510804,0.13934664715584608,0.1046590987526389,0.14115110316721569,0.21441609556257157,209,0.806141141614591
RU,20,lb_ret_stat_50,0.40910338218317105,0.40475007448691663,36.438803718908495,25.629009502499386,0.3069623551462461,1.1350131823739533,209,0.3326512976109066
RU,20,lz_complexity,0.7632154321326962,0.7279639123282795,0.023604634746987003,0.019067738749181773,0.017672375634231713,1.744260456480988,209,0.6398672707225185
RU,20,permutation_entropy,0.6436671404262885,0.5789965704046677,0.00139042216451714,0.00078846627543816,0.001120642773015625,0.46475180892693385,209,0.5557029478196702
RU,20,spectral_flatness,0.5132047435339707,0.569303065355697,0.1214885143453809,0.13197915233076252,0.11596649011664964,6.609625517232097,209,0.2330234649882596
RU,20,kurtosis,0.516608953762144,0.3025084564558249,23.34843395711507,10.415050750848799,0.6829267533232203,2.699576593466625,209,0.1333832891163326
RU,20,robust_kurtosis,0.762628901684407,0.8018122228648544,0.13203613803287276,0.08188445839425773,0.059150311960620275,0.23164638889815356,209,0.7872723878219157
RU,20,tail_ratio_upper,0.7798203358552396,0.7767285346232716,2.630308441643496,1.4603678132749298,0.19057537620720472,0.3718368374179637,209,0.7486079239420131
RU,20,hill_tail_index,0.613121140675598,0.6160269555006398,0.5857268925523124,0.42904403433870364,0.1695901602221996,1.4949648407109677,209,0.5327992054539814
